Stations,96301,97301,96401,97601,96101,97303,97603,96001,96501,96103,96601,96403,95015,96105,96603
,A 1,DT 1,N 1,C 1,S 1,T 1,C 3,SKP 1,KAN 1,TS 1,CTL 1,N 3,KP 1,TS 3,CTL 3
,,AC,,,,,AC,,,,,,,,
,,X,,,,,,,,,,,,,
Kopar,,17:56,18:08,18:12,18:15,18:18,,18:25,,…,18:32,…,…,18:35,
Dombivli,,18:00,18:12,18:16,18:19,18:22,,18:29,,18:12,18:35,18:16,18:20,18:38,
Thakurli,,18:04,18:16,,18:23,18:26,,,,…,18:39,…,…,18:42,
Kalyan,,18:10,18:23,,18:29,18:34,,,,18:18,18:46,18:26,18:28,18:49,
Vithalwadi,,18:14,18:27,,,,,,,,,,18:32,,
Ulhas Nagar,,18:17,18:30,,,,,,,,,,18:35,,
Ambernath,,18:23,18:34,,,,,,,,,,18:39,,
Badlapur,,,18:41,,,,,,,,,,18:48,,
Vangani,,,18:50,,,,,,,,,,,,
Shelu,,,18:54,,,,,,,,,,,,
Neral,,,18:58,,,,,,,,,,,,
Bhivpuri Road,,,19:05,,,,,,,,,,,,
Karjat,,,19:14,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,,,,,,,,,18:31,,,
Ambivli,,,,,,,,,,,,18:34,,,
Titwala,,,,,,,,,,,,18:40,,,
Khadavli,,,,,,,,,,,,18:47,,,
Vasind,,,,,,,,,,,,18:54,,,
Asangaon,,,,,,,,,,,,19:02,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,95727 K 91 $,97631 C 31,97125 CK 21,95613 TL 43,97399 T 103,95007 KP 9,97127 K 93,95803 DL 39,95323 A 47,97243 DDL 1,97633 C 33,95513 AN 23,95729 DK 11,97129 CK 23,97401 T 105
,,,X,,,,,X,,,X,,,,
CSMT,17:25,17:28,,17:29,17:32,17:33,17:36,17:37,17:41,,17:44,17:45,,,17:48
Masjid,…,17:31,,…,17:35,…,17:39,…,…,,17:47,…,,,17:51
Sandhurst Road,…,17:33,,…,17:37,…,17:41,…,…,,17:49,…,,,17:53
Byculla,17:33,17:36,,17:36,17:40,17:40,17:44,17:44,17:48,,17:52,17:52,,,17:56
Chinchpokli,…,17:38,,…,17:42,…,17:46,…,…,,17:54,…,,,17:58
Currey Road,…,17:40,,…,17:44,…,17:48,…,…,,17:56,…,,,18:00
Parel,…,17:43,,…,17:47,…,17:51,…,…,,17:59,…,,,18:03
Dadar,17:40,17:46,,17:43,17:50,17:47,17:54,17:51,17:54,17:58,18:02,17:58,18:01,,18:06
Matunga,…,17:49,,…,17:53,…,17:57,…,…,18:01,18:05,…,…,,18:09
Sion,…,17:52,,…,17:56,…,18:00,…,…,18:04,18:08,…,…,,18:12
Kurla,17:47,17:56,,17:50,18:00,17:54,18:04,...,18:01,18:08,18:12,18:05,18:08,,18:16
Vidyavihar,…,,17:59,…,18:03,…,18:07,…,…,18:11,,…,…,18:15,18:19
Ghatkopar,17:51,,18:02,17:54,18:06,17:58,18:10,18:02,…,18:14,,18:09,18:12,18:18,18:22
Vikhroli,…,,18:06,…,18:10,…,18:14,…,18:09,18:18,,…,…,18:22,18:26
Kanjur Marg,…,,18:09,…,18:13,…,18:17,…,…,18:21,,…,…,18:25,18:29
Bhandup,…,,18:12,…,18:16,…,18:20,18:10,…,18:24,,…,…,18:28,18:32
Nahur,…,,18:15,…,18:19,…,18:23,…,…,18:27,,…,…,18:31,18:35
Mulund,18:03,,18:18,18:06,18:22,…,18:26,…,18:17,18:30,,…,18:24,18:34,18:38
Thane,18:07,,18:23,18:10,18:28,18:13,18:31,18:19,18:22,18:35,,18:25,18:28,18:39,18:44
Kalva,18:13,,18:28,…,,…,18:36,18:24,…,18:40,,…,18:33,18:44,
Mumbra,18:19,,18:34,…,,…,18:42,18:30,…,18:46,,…,18:39,18:50,
Diva,18:23,,18:38,…,,…,18:46,18:34,…,18:50,,…,18:43,18:54,
Kopar,18:28,,18:43,…,,…,18:51,18:39,…,18:55,,…,18:48,18:59,
Dombivli,18:32,,18:47,18:25,,18:28,18:54,18:43,18:37,18:58,,18:40,18:51,19:02,
Thakurli,18:35,,18:51,…,,…,18:58,,…,,,…,18:55,19:06,
Kalyan,18:42,,18:57,18:34,,18:38,19:04,,18:46,,,18:50,19:01,19:13,
Vithalwadi,,,,,,18:42,,,18:50,,,,,,
Ulhas Nagar,,,,,,18:45,,,18:52,,,,,,
Ambernath,,,,,,18:49,,,18:57,,,,,,
Badlapur,,,,,,18:56,,,,,,,,,
Vangani,,,,,,19:04,,,,,,,,,
Shelu,,,,,,19:08,,,,,,,,,
Neral,,,,,,19:12,,,,,,,,,
Bhivpuri Road,,,,,,19:19,,,,,,,,,
Karjat,,,,,,19:28,,,,,,,,,
Palasdhari,,,,,,19:33,,,,,,,,,
Kelavli,,,,,,19:40,,,,,,,,,
Dolavli,,,,,,19:43,,,,,,,,,
Lowjee,,,,,,19:47,,,,,,,,,
Khopoli,,,,,,19:55,,,,,,,,,
Shahad,,,,18:38,,,,,,,,18:55,,,
Ambivli,,,,18:41,,,,,,,,18:58,,,
Titwala,,,,18:49,,,,,,,,19:05,,,
Khadavli,,,,,,,,,,,,19:12,,,
Vasind,,,,,,,,,,,,19:19,,,
Asangaon,,,,,,,,,,,,19:29,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,97131 K 95 X,96209 TBL 5,95615 TL 45,97245 DL 41 X,95239 BL 37,95731 K 97 $,97133 DK 13 X,97403 T 107 X,95325 A 49,97135 K 99 L SPL X,95911 T 109 AC X,97137 K 101,97247 DL 43 AC,95129 S 33,97635 C 35
CSMT,17:52,,17:56,17:57,17:59,18:03,,18:03,18:06,18:07,18:10,18:14,18:18,18:21,18:22
Masjid,17:55,,…,18:00,…,…,,18:06,…,18:10,…,18:17,18:21,…,18:25
Sandhurst Road,17:57,,…,18:02,…,…,,18:08,…,18:12,…,18:19,18:23,…,18:27
Byculla,18:00,,18:03,18:05,18:06,…,,18:11,18:13,18:15,…,18:22,18:26,18:29,18:30
Chinchpokli,18:02,,…,18:07,…,…,,18:13,…,18:17,…,18:24,18:28,…,18:32
Currey Road,18:04,,…,18:09,…,…,,18:15,…,18:19,…,18:26,18:30,…,18:34
Parel,18:07,,…,18:12,…,…,,18:18,…,18:22,…,18:29,18:33,…,18:37
Dadar,18:10,,18:10,18:15,18:13,18:16,18:19,18:23,18:20,18:26,18:23,18:32,18:36,18:36,18:40
Matunga,18:13,,…,18:18,…,…,18:23,18:27,…,18:30,…,18:35,18:39,…,18:43
Sion,18:16,,…,18:21,…,…,18:26,18:30,…,18:33,…,18:38,18:42,…,18:46
Kurla,18:20,,18:18,18:25,18:21,18:24,18:30,18:34,18:27,18:37,18:30,18:42,18:46,18:43,18:50
Vidyavihar,18:23,,…,18:28,…,…,18:33,18:37,…,18:40,…,18:45,18:49,…,
Ghatkopar,18:26,,18:22,18:31,18:25,…,18:36,18:40,18:31,18:43,…,18:48,18:52,18:47,
Vikhroli,18:30,,…,18:35,…,18:32,18:40,18:44,…,18:47,…,18:52,18:56,…,
Kanjur Marg,18:33,,…,18:38,…,…,18:43,18:47,…,18:50,…,18:55,18:59,…,
Bhandup,18:36,,…,18:41,…,…,18:46,18:50,…,18:53,18:40,18:58,19:02,…,
Nahur,18:39,,…,18:44,…,…,18:49,18:53,…,18:56,…,19:01,19:05,…,
Mulund,18:42,,…,18:49,…,18:40,18:53,18:57,…,19:00,18:45,19:04,19:08,…,
Thane,18:46,18:50,18:37,18:55,18:41,18:44,18:58,19:02,18:47,19:05,18:52,19:09,19:13,18:59,
Kalva,18:52,18:55,…,19:00,…,18:49,19:03,,…,19:09,,19:14,19:18,…,
Mumbra,18:58,19:01,…,19:06,…,18:55,19:09,,…,19:15,,19:20,19:24,…,
Diva,19:02,19:05,18:47,19:10,…,18:59,19:13,,…,19:19,,19:24,19:28,19:10,
Kopar,19:07,19:10,…,19:15,…,19:04,19:18,,…,19:24,,19:29,19:33,…,
Dombivli,19:11,19:14,18:53,19:19,18:56,19:08,19:22,,19:01,19:27,,19:32,19:37,19:14,
Thakurli,19:15,19:18,…,,…,19:12,19:26,,…,19:31,,19:36,,…,
Kalyan,19:21,19:26,19:02,,19:05,19:18,19:32,,19:10,19:37,,19:42,,19:22,
Vithalwadi,,19:31,,,19:09,,,,19:14,,,,,19:26,
Ulhas Nagar,,19:34,,,19:12,,,,19:17,,,,,19:29,
Ambernath,,19:38,,,19:16,,,,19:22,,,,,19:33,
Badlapur,,19:47,,,19:26,,,,,,,,,19:40,
Vangani,,,,,,,,,,,,,,19:48,
Shelu,,,,,,,,,,,,,,19:52,
Neral,,,,,,,,,,,,,,19:56,
Bhivpuri Road,,,,,,,,,,,,,,20:03,
Karjat,,,,,,,,,,,,,,20:11,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,19:07,,,,,,,,,,,,
Ambivli,,,19:10,,,,,,,,,,,,
Titwala,,,19:20,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,95327 A 51,97139 DK 15,95417 N 25,97405 T 111,95515 AN 25,96641 TL 47,95733 K 103 AC X,97407 T 113 X,95617 TL 49,97249 DL 45,96015 SKP 13,95241 BL 39,97409 T 115 X,95735 K 105 X,97637 C 37
CSMT,18:25,,18:28,18:29,18:32,18:33,18:36,18:37,18:39,18:41,,18:42,18:45,18:50,18:49
Masjid,…,,…,18:32,…,18:36,…,18:40,…,18:44,,…,18:48,…,18:52
Sandhurst Road,…,,…,18:34,…,18:38,…,18:42,…,18:46,,…,18:50,…,18:54
Byculla,18:33,,18:36,18:37,18:40,18:41,18:43,18:45,18:46,18:49,,18:49,18:53,18:58,18:57
Chinchpokli,…,,…,18:39,…,18:43,…,18:47,…,18:51,,…,18:55,…,18:59
Currey Road,…,,…,18:41,…,18:45,…,18:49,…,18:53,,…,18:57,…,19:01
Parel,…,,…,18:44,…,18:48,…,18:52,…,18:56,,…,19:00,…,19:04
Dadar,18:40,18:43,18:43,18:47,18:46,18:51,18:49,18:55,18:52,18:59,,18:55,19:03,19:04,19:07
Matunga,…,18:47,…,18:50,…,18:54,…,18:58,…,19:02,,…,19:06,…,19:10
Sion,…,18:50,…,18:53,…,18:57,…,19:01,…,19:05,,…,19:09,…,19:13
Kurla,18:47,18:54,18:50,18:57,18:53,19:01,18:56,19:05,18:59,19:09,,19:02,19:13,19:11,19:17
Vidyavihar,…,18:57,…,19:00,…,19:04,…,19:08,…,19:12,,…,19:16,…,
Ghatkopar,18:51,19:00,18:54,19:03,…,19:07,19:00,19:11,19:03,19:15,,19:06,19:19,19:15,
Vikhroli,…,19:04,…,19:07,19:01,19:11,,19:15,…,19:19,,…,19:23,…,
Kanjur Marg,…,19:07,…,19:10,…,19:14,…,19:18,…,19:22,,…,19:26,…,
Bhandup,…,19:10,…,19:13,…,19:17,19:07,19:21,19:11,19:25,,…,19:29,19:23,
Nahur,…,19:13,…,19:16,…,19:20,…,19:24,…,19:28,,…,19:32,…,
Mulund,19:02,19:16,19:05,19:20,,19:24,,19:27,…,19:31,,19:18,19:35,…,
Thane,19:06,19:21,19:09,19:26,19:15,19:29,19:18,19:33,19:21,19:36,,19:24,19:41,19:33,
Kalva,…,19:26,…,,…,19:34,…,,…,19:42,,…,,19:39,
Mumbra,…,19:32,…,,…,19:40,…,,…,19:48,,…,,19:45,
Diva,…,19:36,…,,…,19:44,…,,19:32,19:52,,…,,19:49,
Kopar,…,19:41,…,,…,19:49,…,,…,19:57,,…,,19:54,
Dombivli,19:21,19:44,19:24,,19:31,19:52,19:34,,19:37,20:01,,19:40,,19:58,
Thakurli,…,19:48,…,,…,19:56,…,,…,,,…,,20:02,
Kalyan,19:29,19:54,19:34,,19:39,20:02,19:41,,19:45,,,19:48,,20:08,
Vithalwadi,19:34,,,,,,,,,,,19:52,,,
Ulhas Nagar,19:37,,,,,,,,,,,19:55,,,
Ambernath,19:42,,,,,,,,,,,19:59,,,
Badlapur,,,,,,,,,,,,20:07,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,20:41,,,,
Kelavli,,,,,,,,,,,20:48,,,,
Dolavli,,,,,,,,,,,20:51,,,,
Lowjee,,,,,,,,,,,20:55,,,,
Khopoli,,,,,,,,,,,21:01,,,,
Shahad,,,19:39,,19:44,20:06,,,19:49,,,,,,
Ambivli,,,19:42,,19:47,20:09,,,19:52,,,,,,
Titwala,,,19:48,,19:53,20:19,,,20:00,,,,,,
Khadavli,,,19:55,,20:00,,,,,,,,,,
Vasind,,,20:02,,20:07,,,,,,,,,,
Asangaon,,,20:08,,20:17,,,,,,,,,,
Atgaon,,,20:17,,,,,,,,,,,,
Khardi,,,20:27,,,,,,,,,,,,
Kasara,,,20:46,,,,,,,,,,,,
Stations,95131 S 35,97141 DK 17,97411 T 117,95329 A 53,95737 DK 19,96211 TBL 7,95913 T 119,97143 K 107,97251 DL 47,96113 TS 9,97413 PT 5,96017 SKP 15,95243 BL 41,97145 K 109,95419 N 27
,,X,,,,,X,,X,,,,,,
CSMT,18:53,,18:56,18:57,,,19:00,19:03,19:07,,,,19:14,19:14,19:18
Masjid,…,,18:59,…,,,…,19:06,19:10,,,,…,19:17,…
Sandhurst Road,…,,19:01,…,,,…,19:08,19:12,,,,…,19:19,…
Byculla,19:01,,19:04,19:04,,,…,19:11,19:15,,,,19:21,19:22,19:25
Chinchpokli,…,,19:06,…,,,…,19:13,19:17,,,,…,19:24,…
Currey Road,…,,19:08,…,,,…,19:15,19:19,,,,…,19:26,…
Parel,…,,19:11,…,,,…,19:18,19:22,,19:25,,…,19:29,…
Dadar,19:07,19:11,19:15,19:10,19:13,,19:16,19:21,19:25,,19:28,,19:28,19:32,19:31
Matunga,…,19:15,19:18,…,…,,…,19:24,19:28,,19:31,,…,19:35,…
Sion,…,19:18,19:21,…,…,,…,19:27,19:31,,19:34,,…,19:38,…
Kurla,19:14,19:22,19:25,19:17,19:20,,…,19:31,19:35,,19:38,,19:35,19:42,19:38
Vidyavihar,…,19:25,19:28,…,…,,…,19:34,19:38,,19:41,,…,19:45,…
Ghatkopar,19:18,19:28,19:31,…,19:24,,,19:37,19:41,,19:44,,19:39,19:48,19:42
Vikhroli,…,19:32,19:35,19:24,…,,19:30,19:41,19:45,,19:48,,…,19:52,…
Kanjur Marg,…,19:35,19:38,…,…,,…,19:44,19:48,,19:51,,…,19:55,…
Bhandup,…,19:38,19:41,…,…,,19:35,19:47,19:51,,19:54,,…,19:58,…
Nahur,…,19:41,19:44,…,…,,…,19:50,19:54,,19:57,,…,20:01,…
Mulund,…,19:44,19:47,19:32,19:35,,19:40,19:53,19:57,,20:00,,19:50,20:04,19:54
Thane,19:36,19:51,19:54,19:39,19:42,19:45,19:46,19:58,20:02,20:05,20:06,,19:54,20:09,19:58
Kalva,…,19:57,,…,19:47,19:51,,20:04,20:08,20:11,,,…,20:15,…
Mumbra,…,20:03,,…,19:53,19:57,,20:10,20:14,20:17,,,…,20:21,…
Diva,…,20:07,,…,19:57,20:01,,20:14,20:18,20:21,,,…,20:25,…
Kopar,…,20:12,,…,20:02,20:06,,20:19,20:23,20:26,,,…,20:31,…
Dombivli,19:52,20:16,,19:55,20:06,20:10,,20:23,20:27,20:30,,,20:09,20:34,20:13
Thakurli,…,20:20,,…,20:10,20:14,,20:27,,20:34,,,…,20:38,…
Kalyan,20:00,20:27,,20:04,20:16,20:20,,20:33,,20:41,,,20:16,20:45,20:24
Vithalwadi,20:04,,,20:08,,20:25,,,,20:45,,,20:20,,
Ulhas Nagar,20:07,,,20:11,,20:28,,,,20:48,,,20:23,,
Ambernath,20:12,,,20:18,,20:32,,,,20:52,,,20:27,,
Badlapur,20:19,,,,,20:41,,,,20:59,,,20:35,,
Vangani,20:27,,,,,,,,,21:08,,,,,
Shelu,20:31,,,,,,,,,21:12,,,,,
Neral,20:35,,,,,,,,,21:16,,,,,
Bhivpuri Road,20:42,,,,,,,,,21:23,,,,,
Karjat,20:52,,,,,,,,,21:32,,,,,
Palasdhari,,,,,,,,,,,,21:47,,,
Kelavli,,,,,,,,,,,,21:54,,,
Dolavli,,,,,,,,,,,,21:57,,,
Lowjee,,,,,,,,,,,,22:01,,,
Khopoli,,,,,,,,,,,,22:07,,,
Shahad,,,,,,,,,,,,,,,20:29
Ambivli,,,,,,,,,,,,,,,20:32
Titwala,,,,,,,,,,,,,,,20:38
Khadavli,,,,,,,,,,,,,,,20:45
Vasind,,,,,,,,,,,,,,,20:52
Asangaon,,,,,,,,,,,,,,,20:58
Atgaon,,,,,,,,,,,,,,,21:07
Khardi,,,,,,,,,,,,,,,21:17
Kasara,,,,,,,,,,,,,,,21:35
Stations,97147,97415,95245,95331,97253,95739,95619,97149,96329,96213,97151,95333,97417,97419,95621
,K 111,T 121,BL 43,DA 3,DDL 3,K 113,TL 51,CK 25,TA 3,BL 45,K 115,A 55,DT 3,T 123,TL 53
,,,,,,15 C,,,,,,,,,
,,,,,X,X,,,,,,,X,,
CSMT,19:18,19:22,19:23,,,19:29,19:30,,,19:34,19:38,19:42,,19:45,19:46
Masjid,19:21,19:25,…,,,…,…,,,19:37,19:41,…,,19:48,…
Sandhurst Road,19:23,19:27,…,,,…,…,,,19:39,19:43,…,,19:50,…
Byculla,19:26,19:30,19:30,,,19:38,19:40,,,19:43,19:46,19:49,,19:53,19:53
Chinchpokli,19:28,19:32,…,,,…,…,,,19:45,19:48,…,,19:55,…
Currey Road,19:30,19:34,…,,,…,…,,,19:47,19:50,…,,19:57,…
Parel,19:33,19:37,…,,,…,…,,,19:50,19:53,…,,20:00,…
Dadar,19:36,19:40,19:36,19:39,19:43,19:44,19:47,,,19:53,19:56,19:56,19:59,20:03,19:59
Matunga,19:39,19:43,…,,19:46,…,…,,,19:58,20:00,…,20:03,20:06,…
Sion,19:42,19:46,…,…,19:49,…,…,,,20:01,20:03,…,20:06,20:09,…
Kurla,19:46,19:50,19:43,...,19:53,19:51,19:54,19:57,,20:05,20:07,20:04,20:10,20:13,20:07
Vidyavihar,19:49,19:53,…,…,19:56,…,…,20:01,,20:08,20:10,…,20:13,20:16,…
Ghatkopar,19:52,19:56,19:47,19:50,19:59,19:55,…,20:04,,20:11,20:13,20:08,20:16,20:19,20:11
Vikhroli,19:56,20:00,…,…,20:03,…,20:01,20:08,,20:15,20:17,…,20:20,20:23,…
Kanjur Marg,19:59,20:03,…,…,20:06,…,…,20:11,,20:18,20:20,…,20:23,20:26,…
Bhandup,20:02,20:06,…,19:57,20:09,…,…,20:14,,20:21,20:23,20:16,20:26,20:29,…
Nahur,20:05,20:09,…,…,20:12,…,…,20:17,,20:24,20:26,…,20:29,20:32,…
Mulund,20:08,20:12,…,…,20:15,20:05,20:08,20:20,,20:27,20:29,…,20:32,20:35,…
Thane,20:13,20:17,20:02,20:05,20:21,20:09,20:12,20:25,20:28,20:33,20:34,20:24,20:37,20:40,20:27
Kalva,20:19,,…,…,20:26,…,…,20:30,20:34,20:39,20:40,…,,,…
Mumbra,20:25,,…,…,20:32,…,…,20:36,20:40,20:45,20:46,…,,,…
Diva,20:29,,…,…,20:36,…,…,20:40,20:44,20:49,20:50,20:35,,,…
Kopar,20:35,,…,…,20:41,…,…,20:45,20:49,20:54,20:55,…,,,…
Dombivli,20:38,,20:17,20:20,20:45,20:24,20:27,20:48,20:52,20:57,20:59,20:40,,,20:43
Thakurli,20:42,,…,…,,…,…,20:52,20:56,21:01,21:03,…,,,…
Kalyan,20:49,,20:27,20:32,,20:32,20:36,20:58,21:03,21:09,21:09,20:48,,,20:52
Vithalwadi,,,20:31,20:36,,,,,21:07,21:11,,20:52,,,
Ulhas Nagar,,,20:34,20:39,,,,,21:10,21:14,,20:55,,,
Ambernath,,,20:38,20:44,,,,,21:16,21:21,,21:00,,,
Badlapur,,,20:48,,,,,,,21:29,,,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,,,,20:41,,,,,,,,20:57
Ambivli,,,,,,,20:44,,,,,,,,21:00
Titwala,,,,,,,20:52,,,,,,,,21:07
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,95133 S 37,96215 BL 47,97421 T 125 X,95517 AN 27,97153 K 117 AC X,96643 TL 55,97155 DK 21,96331 A 57,97423 T 127 X,97255 DL 49,97157 K 119,95915 T 129 X,96645 TL 57,97425 T 131 X,96217 TBL 9
CSMT,19:50,19:50,19:55,20:00,20:00,20:04,,20:13,20:17,20:22,20:26,20:30,20:30,20:34,
Masjid,…,19:53,19:58,…,20:03,20:07,,20:16,20:20,20:25,20:29,…,20:34,20:37,
Sandhurst Road,…,19:55,20:00,…,20:05,20:09,,20:18,20:22,20:27,20:31,…,20:36,20:39,
Byculla,19:57,19:58,20:03,20:08,20:08,20:12,,20:21,20:25,20:30,20:34,20:37,20:39,20:42,
Chinchpokli,…,20:00,20:05,…,20:10,20:14,,20:23,20:27,20:32,20:36,…,20:41,20:44,
Currey Road,…,20:02,20:07,…,20:12,20:16,,20:25,20:29,20:34,20:38,…,20:43,20:46,
Parel,…,20:05,20:10,…,20:15,20:19,,20:28,20:32,20:37,20:41,…,20:46,20:49,
Dadar,20:03,20:08,20:13,20:16,20:18,20:22,20:27,20:31,20:35,20:40,20:44,20:45,20:49,20:52,
Matunga,…,20:11,20:17,…,20:21,20:25,20:30,20:34,20:38,20:44,20:48,…,20:52,20:55,
Sion,…,20:14,20:20,…,20:24,20:28,20:33,20:37,20:41,20:47,20:51,…,20:55,20:58,
Kurla,20:11,20:18,20:24,20:24,20:28,20:32,20:37,20:41,20:45,20:51,20:55,20:53,20:59,21:02,
Vidyavihar,…,20:21,20:27,…,20:31,20:35,20:40,20:44,20:48,20:54,20:58,…,21:02,21:05,
Ghatkopar,20:15,20:24,20:30,20:28,20:34,20:38,20:43,20:47,20:51,20:57,21:01,20:57,21:05,21:08,
Vikhroli,…,20:28,20:34,…,20:38,20:42,20:47,20:51,20:55,21:01,21:05,…,21:09,21:12,
Kanjur Marg,…,20:31,20:37,…,20:41,20:45,20:50,20:54,20:58,21:04,21:08,…,21:12,21:15,
Bhandup,…,20:34,20:40,…,20:44,20:48,20:53,20:57,21:01,21:07,21:11,…,21:15,21:18,
Nahur,…,20:37,20:43,…,20:47,20:51,20:56,21:00,21:04,21:10,21:14,…,21:18,21:21,
Mulund,20:27,20:40,20:46,20:38,20:50,20:54,20:59,21:03,21:07,21:13,21:17,21:10,21:21,21:24,
Thane,20:31,20:46,20:51,20:43,20:55,20:59,21:04,21:08,21:13,21:19,21:23,21:16,21:27,21:30,21:32
Kalva,…,20:52,,20:48,20:59,21:04,21:09,21:13,,21:25,21:29,…,21:33,,21:37
Mumbra,…,20:58,,20:54,21:05,21:10,21:15,21:19,,21:31,21:35,,21:39,,21:43
Diva,…,21:02,,20:58,21:09,21:14,21:19,21:23,,21:35,21:39,,21:43,,21:47
Kopar,…,21:07,,21:03,21:14,21:19,21:24,21:28,,21:40,21:44,,21:48,,21:52
Dombivli,20:47,21:11,,21:07,21:18,21:23,21:28,21:32,,21:44,21:48,,21:52,,21:56
Thakurli,…,21:15,,21:11,21:22,21:27,21:32,21:36,,,21:52,,21:56,,22:00
Kalyan,20:57,21:22,,21:17,21:28,21:33,21:38,21:42,,,21:58,,22:02,,22:06
Vithalwadi,21:02,21:26,,,,,,21:46,,,,,,,22:11
Ulhas Nagar,21:05,21:29,,,,,,21:49,,,,,,,22:14
Ambernath,21:09,21:33,,,,,,21:55,,,,,,,22:18
Badlapur,21:16,21:41,,,,,,,,,,,,,22:26
Vangani,21:25,,,,,,,,,,,,,,
Shelu,21:29,,,,,,,,,,,,,,
Neral,21:33,,,,,,,,,,,,,,
Bhivpuri Road,21:40,,,,,,,,,,,,,,
Karjat,21:51,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,21:21,,21:37,,,,,,,22:06,,
Ambivli,,,,21:24,,21:40,,,,,,,22:09,,
Titwala,,,,21:30,,21:48,,,,,,,22:17,,
Khadavli,,,,21:37,,,,,,,,,,,
Vasind,,,,21:44,,,,,,,,,,,
Asangaon,,,,21:52,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,96333 A 59,97639 C 39,97159 PK 21,95009 KP 11,95421 N 29,95335 A 61,97257 DL 51,97427 T 133,96519 AN 29,97161 K 121,97429 T 135,96219 BL 49,97259 DL 53,97163 K 123 AC,96647 TL 59
,,,X,,,,X,,,X,,,X,,
CSMT,20:38,20:41,,20:41,20:44,20:47,20:48,20:52,20:56,21:00,21:04,21:08,21:12,21:16,21:20
Masjid,20:41,20:44,,…,…,…,20:51,20:55,20:59,21:03,21:07,21:11,21:15,21:19,21:23
Sandhurst Road,20:43,20:46,,…,…,…,20:53,20:57,21:01,21:05,21:09,21:13,21:17,21:21,21:25
Byculla,20:46,20:49,,20:48,20:51,20:54,20:56,21:00,21:04,21:08,21:12,21:16,21:20,21:24,21:28
Chinchpokli,20:48,20:51,,…,…,…,20:58,21:02,21:06,21:10,21:14,21:18,21:22,21:26,21:30
Currey Road,20:50,20:53,,…,…,…,21:00,21:04,21:08,21:12,21:16,21:20,21:24,21:28,21:32
Parel,20:53,20:56,20:59,…,…,…,21:03,21:07,21:11,21:15,21:19,21:23,21:27,21:31,21:35
Dadar,20:56,20:59,21:02,20:55,20:58,21:01,21:06,21:10,21:14,21:18,21:22,21:26,21:30,21:34,21:38
Matunga,20:59,21:03,21:06,…,…,…,21:10,21:13,21:17,21:21,21:25,21:29,21:33,21:37,21:41
Sion,21:02,21:06,21:09,…,…,…,21:13,21:16,21:20,21:24,21:28,21:32,21:36,21:40,21:44
Kurla,21:06,21:10,21:13,21:04,21:07,21:10,21:17,21:20,21:24,21:28,21:32,21:36,21:40,21:44,21:48
Vidyavihar,21:09,,21:16,…,…,…,21:20,21:23,21:27,21:31,21:35,21:39,21:43,21:47,21:51
Ghatkopar,21:12,,21:19,21:08,21:11,21:14,21:23,21:26,21:30,21:34,21:38,21:42,21:46,21:50,21:54
